Date,Open,High,Low,Close,Volume,Change
2013_12_9_,1230.2,1243.2,1229,1235.3,0.35K,0.41%
2013_12_6_,1228.7,1242,1213,1230.3,1.03K,-0.24%
2013_12_5_,1240,1241.5,1218.6,1233.2,0.45K,-1.20%
2013_12_4_,1225.1,1250.4,1212.9,1248.2,1.82K,2.17%
2013_12_3_,1219.2,1225.7,1215.6,1221.7,1.93K,-0.05%
2013_12_2_,1251.4,1251.5,1217.8,1222.3,4.98K,-2.26%
2013_11_29_,1237.8,1254.5,1233.7,1250.6,9.20K,0.55%
2013_11_28_,1237.9,1245.3,1236.2,1243.8,-,0.48%
2013_11_27_,1241.6,1254.8,1235.5,1237.8,82.33K,-0.29%
2013_11_26_,1243,1243,1243,1241.4,-,0.02%
2013_11_25_,1231.1,1240.7,1229,1241.1,0.02K,-0.23%
2013_11_22_,1243.2,1247,1241.4,1244,0.08K,0.04%
2013_11_21_,1245.7,1247.1,1236.5,1243.5,0.09K,-1.14%
2013_11_20_,1269,1269,1241.9,1257.9,0.12K,-1.22%
2013_11_19_,1274.2,1275.2,1271,1273.4,0.01K,0.09%
2013_11_18_,1284.7,1284.8,1272.2,1272.2,0.01K,-1.17%
2013_11_15_,1287.7,1288.5,1281.5,1287.3,0.02K,0.09%
2013_11_14_,1280.2,1293.3,1278.1,1286.2,0.03K,1.41%
2013_11_13_,1274,1280.5,1271.1,1268.3,0.02K,-0.22%
2013_11_12_,1282.3,1282.3,1268.5,1271.1,-,-0.77%
2013_11_11_,1281.6,1281.8,1281,1281,0.01K,-0.27%
2013_11_8_,1308,1308.1,1281.3,1284.5,0.02K,-1.83%
